	0	1
245	GO:0000245	obselete
246	GO:0007015	obselete
247	GO:0005509	obselete
248	GO:0007213	obselete
249	GO:0004713	obselete
250	GO:0000775	obselete
251	GO:0043565	obselete
252	GO:0005868	obselete
253	GO:0010008	obselete
254	GO:0046983	obselete
255	GO:0030425	obselete
256	GO:0016012	obselete
257	GO:0005524	obselete
258	GO:0061630	obselete
259	GO:0006986	obselete
260	GO:0005216	obselete
261	GO:0034765	obselete
262	GO:0071805	obselete
263	GO:0017136	obselete
264	GO:0070403	obselete
265	GO:0004222	obselete
266	GO:0008157	obselete
267	GO:2001045	obselete
268	GO:0003980	obselete
269	GO:0016567	obselete
270	GO:0004322	obselete
271	GO:0008199	obselete
272	GO:0005509	obselete
273	GO:0000828	obselete
274	GO:0000832	obselete
275	GO:0033857	obselete
276	GO:0005524	obselete
277	GO:0000159	obselete
278	GO:0030488	obselete
279	GO:0016567	obselete
280	GO:0033116	obselete
281	GO:0005509	obselete
282	GO:0006777	obselete
283	GO:0032324	obselete
284	GO:0004144	obselete
285	GO:0019432	obselete
286	GO:0008017	obselete
287	GO:0004715	obselete
288	GO:0005524	obselete
289	GO:0004084	obselete
290	GO:0008652	obselete
291	GO:0003899	obselete
292	GO:0008237	obselete
293	GO:0003839	obselete
294	GO:0061928	obselete
295	GO:0006751	obselete
296	GO:0030301	obselete
297	GO:0046600	obselete
298	GO:0004963	obselete
299	GO:0005509	obselete
300	GO:0016887	obselete
301	GO:0004143	obselete
302	GO:0007205	obselete
303	GO:0004348	obselete
304	GO:0006665	obselete
305	GO:0005765	obselete
306	GO:0004867	obselete
307	GO:0043488	obselete
308	GO:0005524	obselete
309	GO:0016887	obselete
310	GO:0070588	obselete
311	GO:0015934	obselete
312	GO:0006465	obselete
313	GO:0005743	obselete
314	GO:0004843	obselete
315	GO:0008234	obselete
316	GO:0004674	obselete
317	GO:0004692	obselete
318	GO:0005524	obselete
319	GO:0019367	obselete
320	GO:0035338	obselete
321	GO:0005789	obselete
322	GO:0061809	obselete
323	GO:0035091	obselete
324	GO:0015095	obselete
325	GO:0019706	obselete
326	GO:0000139	obselete
327	GO:0016567	obselete
328	GO:0004657	obselete
329	GO:0006562	obselete
330	GO:0003995	obselete
331	GO:0050660	obselete
332	GO:0005096	obselete
333	GO:0005524	obselete
334	GO:0008270	obselete
335	GO:0016274	obselete
336	GO:0006367	obselete
337	GO:0005669	obselete
338	GO:0006493	obselete
339	GO:0034647	obselete
340	GO:0005524	obselete
341	GO:0003777	obselete
342	GO:0005524	obselete
343	GO:0008017	obselete
344	GO:0034045	obselete
345	GO:0097503	obselete
346	GO:0006809	obselete
347	GO:0009190	obselete
348	GO:0120108	obselete
349	GO:0005096	obselete
350	GO:0006166	obselete
351	GO:0020037	obselete
352	GO:0046961	obselete
353	GO:0004396	obselete
354	GO:0005536	obselete
355	GO:0006096	obselete
356	GO:0006096	obselete
357	GO:0004714	obselete
358	GO:0004719	obselete
359	GO:0005249	obselete
360	GO:0006813	obselete
361	GO:0008076	obselete
362	GO:0043236	obselete
363	GO:0030512	obselete
364	GO:0046873	obselete
365	GO:0017128	obselete
366	GO:0005524	obselete
367	GO:0006986	obselete
368	GO:0005216	obselete
369	GO:0005249	obselete
370	GO:0006813	obselete
371	GO:0034765	obselete
372	GO:0071805	obselete
373	GO:0033558	obselete
374	GO:0003779	obselete
375	GO:0003779	obselete
376	GO:0072542	obselete
377	GO:0001843	obselete
378	GO:0061386	obselete
379	GO:0097359	obselete
380	GO:0004336	obselete
381	GO:0006683	obselete
382	GO:0016607	obselete
383	GO:0006879	obselete
384	GO:0000827	obselete
385	GO:0005524	obselete
386	GO:0052724	obselete
387	GO:0004114	obselete
388	GO:0005868	obselete
389	GO:0019888	obselete
390	GO:0004809	obselete
391	GO:0030488	obselete
392	GO:0004842	obselete
393	GO:0006888	obselete
394	GO:0061598	obselete
395	GO:0004144	obselete
396	GO:0050252	obselete
397	GO:1902018	obselete
398	GO:0019900	obselete
399	GO:0004713	obselete
400	GO:0005524	obselete
401	GO:0005524	obselete
402	GO:0016567	obselete
403	GO:0008483	obselete
404	GO:0003899	obselete
405	GO:0004222	obselete
406	GO:0008237	obselete
407	GO:0006751	obselete
408	GO:0042699	obselete
409	GO:0005524	obselete
410	GO:0004143	obselete
411	GO:0046486	obselete
412	GO:0006665	obselete
413	GO:0008203	obselete
414	GO:0004867	obselete
415	GO:0006511	obselete
416	GO:0005524	obselete
417	GO:0006816	obselete
418	GO:0070588	obselete
419	GO:0008236	obselete
420	GO:0004843	obselete
421	GO:0004674	obselete
422	GO:0005524	obselete
423	GO:0004674	obselete
424	GO:0004674	obselete
425	GO:0005524	obselete
